City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,qaqortoq,60.7167,-46.0333,-3.23,78,96,1.42,GL,1712849364
83,dellys,36.9172,3.9131,13.7,73,88,9.67,DZ,1712849364
84,bac lieu,9.285,105.7244,28.6,75,13,7.35,VN,1712849364
85,mount gambier,-37.8333,140.7667,11.69,66,87,1.54,AU,1712849342
86,lebu,-37.6167,-73.65,15.11,47,0,1.65,CL,1712849106
87,arkhangel'sk,64.5401,40.5433,6.06,67,75,10.0,RU,1712849151
88,sianow,54.2265,16.2913,12.15,65,100,6.53,PL,1712849364
89,primero de mayo,-32.2552,-58.4228,19.75,59,1,7.01,AR,1712849365
90,perevoz,55.5961,44.5446,15.87,76,100,6.42,RU,1712849365
91,marsabit,2.3284,37.9899,25.11,57,26,4.88,KE,1712849365
92,tazacorte,28.629,-17.9293,23.54,64,0,7.2,ES,1712849365
93,lijiang,26.8688,100.2207,9.44,45,1,2.26,CN,1712849365
94,punta arenas,-53.15,-70.9167,9.06,57,20,15.43,CL,1712849365
95,dryden,49.7833,-92.7503,7.16,76,100,2.06,CA,1712849366
96,luderitz,-26.6481,15.1594,24.75,48,1,4.9,NA,1712849366
97,saint-philippe,-21.3585,55.7679,27.77,88,85,1.77,RE,1712849366
98,kapuskasing,49.4169,-82.4331,12.0,58,75,2.06,CA,1712849342
99,daira din panah,30.5702,70.9361,31.52,15,16,2.79,PK,1712849366
100,nuku'alofa,-21.1333,-175.2,23.19,100,40,2.06,TO,1712849366
101,papatowai,-46.5619,169.4708,7.52,92,100,3.96,NZ,1712849366
102,ushuaia,-54.8,-68.3,8.81,57,0,6.17,AR,1712849340
103,severo-yeniseyskiy,60.3725,93.0408,-17.84,98,98,0.95,RU,1712849367
104,salinopolis,-0.6136,-47.3561,28.54,80,99,2.25,BR,1712849367
105,tafalla,42.5269,-1.6745,23.49,45,5,6.71,ES,1712849367
106,hawaiian paradise park,19.5933,-154.9731,21.69,98,100,2.06,US,1712849367
107,gillette,44.2911,-105.5022,6.17,47,0,1.34,US,1712849181
108,klyuchi,52.2667,79.1667,1.35,76,100,2.73,RU,1712849367
109,east london,-33.0153,27.9116,17.52,72,0,9.77,ZA,1712849368
110,victorica,-36.2151,-65.4359,11.21,54,100,6.89,AR,1712849368
111,grants,35.1473,-107.8514,5.13,36,0,1.54,US,1712849368
112,kerema,-7.9631,145.7785,26.2,89,97,2.98,PG,1712849368
113,ar rass,25.8694,43.4973,28.95,19,5,3.03,SA,1712849368
114,oistins,13.0667,-59.5333,31.05,62,20,8.23,BB,1712849368
115,namtsy,62.7161,129.6658,0.72,94,100,3.09,RU,1712849369
116,pisco,-13.7,-76.2167,24.45,78,57,3.09,PE,1712849369
117,rio grande,-32.035,-52.0986,21.06,59,100,6.82,BR,1712849369
118,concepcion,-36.827,-73.0498,14.89,77,75,4.12,CL,1712849298
119,nishinoomote,30.7333,131.0,18.72,86,100,8.08,JP,1712849369
120,bodaybo,57.8506,114.1933,-1.99,97,91,0.58,RU,1712849369
121,kuhmo,64.1333,29.5167,4.65,77,41,6.34,FI,1712849369
122,bodo,67.28,14.405,4.41,68,75,6.17,NO,1712849370
123,newtown trim,53.5561,-6.77,15.97,95,100,6.28,IE,1712849370
124,titlagarh,20.3,83.15,26.77,51,87,1.51,IN,1712849370
125,sao jose da coroa grande,-8.8978,-35.1478,29.95,66,76,4.06,BR,1712849370
126,antsiranana,-12.2787,49.2917,28.42,83,40,0.0,MG,1712849370
127,nizhniy odes,63.6445,54.856,3.61,98,100,6.23,RU,1712849370
128,slavonski brod,45.1603,18.0156,22.88,58,100,2.34,HR,1712849371
129,argo,37.6333,22.7333,21.64,39,100,6.84,GR,1712849371
130,nuriootpa,-34.4833,139.0,11.56,89,0,2.15,AU,1712849071
131,happy valley-goose bay,53.3168,-60.3315,10.17,20,20,7.72,CA,1712849259
132,aasiaat,68.7098,-52.8699,-6.07,87,100,1.96,GL,1712849371
133,iskateley,67.6803,53.1512,1.68,100,100,7.6,RU,1712849371
134,callao,-12.0667,-77.15,23.16,83,41,3.6,PE,1712849371
135,kourou,5.1552,-52.6478,31.03,81,52,3.91,GF,1712849372
136,saudarkrokur,65.7461,-19.6394,1.68,96,99,1.03,IS,1712849372
137,tobelo,1.7284,128.0095,26.65,82,37,0.74,ID,1712849372
138,karratha,-20.7377,116.8463,27.65,68,0,3.85,AU,1712849372
139,labrador city,52.9463,-66.9114,2.95,52,75,7.2,CA,1712849372
140,kingscliff,-28.2667,153.5667,19.89,77,37,3.6,AU,1712849372
141,inari,68.906,27.0288,4.42,84,99,7.09,FI,1712849372
142,auxonne,47.1926,5.3873,19.0,42,0,3.6,FR,1712849373
143,sikonge,-5.6333,32.7667,23.07,82,67,1.45,TZ,1712849373
144,ts'khinvali,42.2276,43.9686,11.68,82,100,0.83,GE,1712849373
145,puerto san jose,13.9256,-90.8244,31.03,58,0,2.06,GT,1712849373
146,whangarei,-35.7317,174.3239,19.36,95,100,4.5,NZ,1712849215
147,elkhart,41.5823,-85.8344,10.83,92,100,6.0,US,1712849151
148,daru,-9.0763,143.2092,26.84,84,92,7.12,PG,1712849373
149,hilo,19.7297,-155.09,24.04,99,100,2.06,US,1712849374
150,ampanihy,-24.7,44.75,23.48,65,100,5.07,MG,1712849374
151,atafu village,-8.5421,-172.5159,29.13,74,79,2.81,TK,1712849178
152,ballina,-28.8667,153.5667,15.43,79,74,4.86,AU,1712849374
153,hasaki,35.7333,140.8333,14.05,68,100,3.56,JP,1712849374
154,kruisfontein,-34.0033,24.7314,17.16,57,51,4.67,ZA,1712849374
155,sferracavallo,42.726,12.0956,22.14,65,100,3.96,IT,1712849375
156,nova vicosa,-17.8919,-39.3719,28.94,69,26,4.32,BR,1712849115
157,lusaka,-15.4067,28.2871,20.96,86,97,2.04,ZM,1712849375
158,mathba,22.2855,89.9629,30.66,34,100,1.5,BD,1712849375
159,camana,-16.6228,-72.7111,22.11,82,100,3.32,PE,1712849375
160,novyy urengoy,66.0833,76.6333,-22.58,96,19,3.94,RU,1712849279
161,susuman,62.7833,148.1667,-18.55,100,99,0.72,RU,1712849375
162,kone,-21.0595,164.8658,22.73,92,98,1.33,NC,1712849375
163,auki,-8.7676,160.7034,24.96,91,100,1.65,SB,1712849376
164,stanley,54.868,-1.6985,14.84,76,40,6.69,GB,1712849083
165,ulladulla,-35.35,150.4667,8.76,80,59,2.14,AU,1712849376
166,solleftea,63.1667,17.2667,5.92,99,100,1.25,SE,1712849376
167,lienz,46.8289,12.769,19.73,76,60,1.57,AT,1712849376
168,xiva,41.3783,60.3639,19.99,26,100,5.25,UZ,1712849377
169,chemolgan,43.1897,76.5292,12.81,64,100,2.84,KZ,1712849377
170,tosontsengel,48.7567,98.2839,2.55,72,100,1.11,MN,1712849377
171,quellon,-43.1167,-73.6167,11.43,63,0,1.84,CL,1712849377
172,puerto baquerizo moreno,-0.9,-89.6,26.55,83,40,2.06,EC,1712849328
173,canyon,34.9803,-101.9188,11.96,53,4,4.02,US,1712849204
174,nikolayevsk-on-amure,53.1406,140.73,0.12,96,85,1.79,RU,1712849378
175,praia da vitoria,38.7333,-27.0667,20.14,77,75,4.53,PT,1712849378
176,vilyuchinsk,52.9306,158.4028,-0.85,83,9,4.55,RU,1712849378
177,kill devil hills,36.0307,-75.676,20.0,90,100,6.17,US,1712849173
178,vilyuysk,63.7553,121.6247,-13.33,88,100,4.02,RU,1712849378
179,flying fish cove,-10.4217,105.6791,26.82,83,40,4.63,CX,1712849378
180,panino,51.6467,40.1346,23.09,47,99,3.09,RU,1712849379
181,alpharetta,34.0754,-84.2941,20.82,95,90,1.34,US,1712849260
182,es castell,39.8795,4.2854,17.38,59,20,12.86,ES,1712849379
183,khorinsk,52.1657,109.7726,2.5,77,65,1.5,RU,1712849379
184,yemva,62.59,50.8594,5.47,83,95,5.77,RU,1712849379
185,bella union,-30.2752,-57.6007,18.46,75,99,5.76,UY,1712849166
186,bardai,11.65,7.2333,39.58,5,41,6.39,NG,1712849379
187,chonchi,-42.6128,-73.8092,13.56,56,0,1.08,CL,1712849380
188,rikaze,29.25,88.8833,6.22,17,70,5.77,CN,1712849380
189,timimoun,29.2639,0.231,28.21,15,0,4.12,DZ,1712849380
190,bengkulu,-3.8004,102.2655,26.33,90,100,2.82,ID,1712849380
191,ryotsu-minato,38.0833,138.4333,11.39,61,100,0.67,JP,1712849380
192,khategaon,22.6,76.9167,28.95,42,100,6.75,IN,1712849380
193,vila franca do campo,37.7167,-25.4333,18.27,99,15,3.63,PT,1712849381
194,nova sintra,14.8667,-24.7167,22.62,74,8,5.23,CV,1712849381
195,guixi,28.2886,117.2133,19.14,93,100,0.42,CN,1712849381
196,tiksi,71.6872,128.8694,-27.43,93,29,8.53,RU,1712849381
197,akureyri,65.6835,-18.0878,2.96,70,100,4.63,IS,1712849381
198,rabaul,-4.1967,152.1721,26.43,85,100,2.41,PG,1712849381
199,vila velha,-20.3297,-40.2925,30.97,75,40,3.09,BR,1712849196
200,oriximina,-1.7656,-55.8661,29.5,76,60,1.22,BR,1712849382
201,pyapon,16.2833,95.6833,30.86,51,1,4.13,MM,1712849382
202,dupnitsa,42.2667,23.1167,25.5,28,0,5.21,BG,1712849382
203,viedma,-40.8135,-62.9967,15.1,40,100,1.38,AR,1712849258
204,tchintabaraden,15.8969,5.7985,40.08,7,100,1.14,NE,1712849382
205,cabo san lucas,22.8909,-109.9124,21.95,58,20,2.06,MX,1712849166
206,general conesa,-40.1,-64.4333,15.4,40,94,3.3,AR,1712849383
207,invercargill,-46.4,168.35,7.79,87,100,1.34,NZ,1712849383
208,dudinka,69.4058,86.1778,-25.18,98,45,2.24,RU,1712849383
209,bonthe,7.5264,-12.505,30.17,65,87,5.54,SL,1712849383
210,velikiye luki,56.34,30.5452,13.79,42,16,4.52,RU,1712849383
211,ndjole,-0.1783,10.7649,30.38,81,100,1.6,GA,1712849383
212,zeya,53.75,127.2667,0.27,79,11,1.84,RU,1712849383
213,bethel,41.3712,-73.414,12.33,88,100,3.09,US,1712849205
214,kununurra,-15.7667,128.7333,18.99,88,4,0.0,AU,1712849384
215,mahdia,35.5047,11.0622,18.97,52,85,6.44,TN,1712849384
216,hammerfest,70.6634,23.6821,1.25,93,75,8.23,NO,1712849384
217,la passe,45.5549,-0.8967,18.13,76,95,3.31,FR,1712849384
218,saint-joseph,-21.3667,55.6167,27.21,86,90,1.62,RE,1712849385
219,tura,25.5198,90.2201,25.79,31,100,1.64,IN,1712849385
220,manggar,-2.8833,108.2667,27.63,82,97,1.45,ID,1712849199
221,howard springs,-12.497,131.047,25.95,86,30,1.75,AU,1712849385
222,ortaca,36.8294,28.7708,20.89,73,75,2.57,TR,1712849385
223,malanje,-9.5402,16.341,24.74,83,96,2.1,AO,1712849385
224,gaspe,48.8334,-64.4819,6.12,70,100,4.12,CA,1712849386
225,usinsk,65.9939,57.5281,-0.52,98,100,13.86,RU,1712849386
226,quthing,-30.4,27.7003,17.75,20,0,3.2,LS,1712849386
227,lukolela,-1.0605,17.1821,31.14,56,99,2.29,CD,1712849386
228,zhumysker,49.3333,49.4,18.47,42,39,2.99,KZ,1712849387
229,coquimbo,-29.9533,-71.3436,13.85,100,100,2.06,CL,1712849174
230,barah,13.7,30.3667,35.77,6,7,6.35,SD,1712849387
231,port macquarie,-31.4333,152.9167,14.94,92,25,4.52,AU,1712849387
232,weno,7.4515,151.8468,26.97,89,100,2.06,FM,1712849388
233,thunder bay,48.4001,-89.3168,9.99,66,20,1.03,CA,1712849214
234,binbrook,43.121,-79.804,9.38,95,100,7.2,CA,1712849388
235,petawawa,45.9001,-77.3328,11.55,64,100,1.03,CA,1712849388
236,bubaque,11.2833,-15.8333,25.01,66,0,5.67,GW,1712849388
237,archangelos,36.2149,28.1149,20.99,57,0,2.02,GR,1712849388
238,minas de marcona,-15.2119,-75.1103,22.31,60,8,3.55,PE,1712849389
239,constantia,44.1833,28.65,22.61,64,1,2.4,RO,1712849294
240,angra do heroismo,38.65,-27.2167,20.34,99,75,2.68,PT,1712849389
241,viqueque,-8.8673,126.3658,24.15,88,40,1.15,TL,1712849389
242,sovetskaya gavan',48.9723,140.2878,8.95,59,17,2.72,RU,1712849389
243,kurchatov,51.6601,35.6521,24.23,52,100,3.01,RU,1712849389
244,antonio enes,-16.2325,39.9086,28.22,79,99,4.66,MZ,1712849390
